Date,San,Mask,Symp
2020-02-27,1,3,19
2020-02-28,1,3,18
2020-02-29,2,3,18
2020-03-01,2,2,18
2020-03-02,3,2,28
2020-03-03,7,2,30
2020-03-04,10,2,32
2020-03-05,13,2,33
2020-03-06,14,2,31
2020-03-07,15,2,32
2020-03-08,14,2,32
2020-03-09,15,2,42
2020-03-10,17,2,48
2020-03-11,19,3,53
2020-03-12,29,4,100
2020-03-13,31,4,93
2020-03-14,30,5,75
2020-03-15,29,5,76
2020-03-16,27,5,91
2020-03-17,22,5,79
2020-03-18,23,6,62
2020-03-19,19,9,56
2020-03-20,18,14,50
2020-03-21,20,21,50
2020-03-22,19,21,45
2020-03-23,15,20,42
2020-03-24,13,17,36
2020-03-25,11,15,32
2020-03-26,10,14,27
2020-03-27,9,13,26
2020-03-28,10,17,30
2020-03-29,9,17,26
2020-03-30,9,17,18
2020-03-31,9,22,17
2020-04-01,9,30,17
2020-04-02,10,42,16
2020-04-03,10,71,15
2020-04-04,12,100,15
2020-04-05,10,70,14
2020-04-06,7,55,13
2020-04-07,6,51,12
2020-04-08,5,40,11
2020-04-09,5,34,10
2020-04-10,5,34,9
2020-04-11,6,31,9
2020-04-12,4,23,8
2020-04-13,4,22,8
2020-04-14,5,22,8
2020-04-15,5,23,7
2020-04-16,4,26,7
2020-04-17,5,27,7
2020-04-18,5,29,7
2020-04-19,4,24,6
2020-04-20,3,20,6
2020-04-21,4,22,6
2020-04-22,4,20,5
2020-04-23,4,21,6
2020-04-24,3,20,6
2020-04-25,4,21,5
2020-04-26,4,20,6
2020-04-27,4,16,6
2020-04-28,3,19,5
2020-04-29,3,18,5
2020-04-30,3,16,5
2020-05-01,3,19,4
2020-05-02,3,16,4
2020-05-03,3,17,4
2020-05-04,3,15,4
2020-05-05,2,15,4
2020-05-06,3,14,4
2020-05-07,2,13,4
2020-05-08,3,13,4
2020-05-09,2,14,4
2020-05-10,2,12,4
2020-05-11,2,17,4
2020-05-12,3,21,4
2020-05-13,2,17,4
2020-05-14,3,13,3
2020-05-15,2,13,3
2020-05-16,2,13,3
2020-05-17,2,12,4
2020-05-18,2,11,4
2020-05-19,2,9,3
2020-05-20,2,9,3
2020-05-21,2,9,3
2020-05-22,2,9,3
2020-05-23,1,9,3
2020-05-24,1,9,3

